상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소,지정일자,지정등급
파파존스피자 건대점,서울특별시 광진구 아차산로 289 (자양동) 1층,음식,기타 간이,버거,127.075252905824,37.5387989999769,서울특별시 광진구 아차산로 289,2023-09-10,매우우수
팔자좀피자,서울특별시 광진구 뚝섬로 509-1 (자양동) 1층,음식,기타 간이,피자,127.067007388537,37.5357967117582,서울특별시 광진구 뚝섬로 509 1,2023-05-25,매우우수
퍼부어 건대점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,중식,중국집,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-03-04,매우우수
푸라닭화양점,서울특별시 광진구 동일로30길 51 (화양동) 1층,음식,기타 간이,치킨,127.070210528195,37.5475626769045,서울특별시 광진구 동일로30 길 51,2023-09-01,매우우수
푸라닭 광장점,서울특별시 광진구 광나루로 635 (광장동),음식,기타 간이,치킨,127.097789535754,37.5400545983726,서울특별시 광진구 광나루로 635,2024-06-26,매우우수
푸라닭 자양점,서울특별시 광진구 아차산로 345 (자양동) 1층,음식,기타 간이,치킨,127.081435828724,37.5374956774318,서울특별시 광진구 아차산로 345,2024-07-29,매우우수
푸라닭,서울특별시 광진구 능동로 388 (중곡동) 1층,음식,기타 간이,치킨,127.083355779652,37.563668109338,서울특별시 광진구 능동로 388,2024-04-18,매우우수
플러스82 건대점,서울특별시 광진구 동일로30길 16 (화양동) 1층,음식,비알코올 ,카페,127.068072424844,37.5475007688257,서울특별시 광진구 동일로30 길 16,2023-11-13,우수
하이디라오건대지점 코리아,서울특별시 광진구 능동로 110 (화양동) 2층,음식,중식,중국집,127.071393981254,37.5406519161493,서울특별시 광진구 능동로 110,2025-01-24,우수
하이오커피군자역점,서울특별시 광진구 천호대로 576 (능동),음식,비알코올 ,카페,127.081787433039,37.5558798638962,서울특별시 광진구 천호대로 576,2023-05-23,매우우수
한가람,서울특별시 광진구 능동로 92 (자양동),음식,한식,백반/한정식,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-04-23,매우우수
한결보쌈,서울특별시 광진구 아차산로 345 (자양동) 1층,음식,한식,족발/보쌈,127.081435607686,37.5375136967709,서울특별시 광진구 아차산로 345,2023-06-07,우수
할리스,서울특별시 광진구 아차산로 235 (화양동) 1층,음식,비알코올 ,카페,127.069516198297,37.5406010925762,서울특별시 광진구 아차산로 235,2023-11-29,매우우수
호식이두마리치킨구의,서울특별시 광진구 자양로 243 (구의동) 1층,음식,기타 간이,치킨,127.088557618635,37.548282396083,서울특별시 광진구 자양로 243,2023-10-11,우수
홍대개미롯데스타시티점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,일식,일식 카레/돈가스/덮밥,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92,2024-05-14,매우우수
