상호,주소,상권업종대분류명,상권업종중분류명,상권업종소분류명,경도,위도,도로명주소
청년피자중곡 직영점,서울특별시 광진구 능동로 356 (중곡동) 1층,음식,기타 간이,피자,127.0819046111,37.5610888430181,서울특별시 광진구 능동로 356
구의규구의 본점,서울특별시 광진구 자양로18길 81 (구의동) 1층,음식,일식,일식 회/초밥,127.088019288774,37.5385919254989,서울특별시 광진구 자양로18 길 81
쏘스윗건대,서울특별시 광진구 능동로13길 10-5 (화양동) 1층,음식,기타 간이,그 외 기타 간이 음식점,127.071275189485,37.5429306425045,서울특별시 광진구 능동로13 길 10 5
고기랑,서울특별시 광진구 광나루로56길 85 (구의동) 1층,음식,한식,돼지고기 구이/찜,127.095680669092,37.53571340911,서울특별시 광진구 광나루로56 길 85
옛날가마솥순대,서울특별시 광진구 용마산로3길 43 (중곡동),음식,한식,국/탕/찌개류,127.085598616788,37.556125693638,서울특별시 광진구 용마산로3 길 43
엑스맥주방,서울특별시 광진구 동일로18길 41 (자양동) 1층,음식,주점,생맥주 전문,127.065116656625,37.5395121131735,서울특별시 광진구 동일로18 길 41
더바른정국밥 중곡점,서울특별시 광진구 능동로 384 (중곡동),음식,한식,국/탕/찌개류,127.083088229389,37.5633326435519,서울특별시 광진구 능동로 384
이자카나,서울특별시 광진구 동일로22길 88 (화양동) 2층,음식,일식,일식 회/초밥,127.068944640834,37.5410651343027,서울특별시 광진구 동일로22 길 88
맷돌전,서울특별시 광진구 광장로1나길 18 (광장동) 1층,음식,한식,백반/한정식,127.101668510737,37.54873428162,서울특별시 광진구 광장로1 나길 18
퍼부어 건대점,서울특별시 광진구 능동로 92 (자양동) 1층,음식,중식,중국집,127.07119956705,37.538992451652,서울특별시 광진구 능동로 92
짚불맥주 건대점,서울특별시 광진구 동일로22길 96 (화양동) 2층,음식,주점,생맥주 전문,127.069353761939,37.5409241910981,서울특별시 광진구 동일로22 길 96
찜삼촌 건대점,서울특별시 광진구 광나루로 380 (화양동) 2층,음식,한식,백반/한정식,127.071862172364,37.547611713021,서울특별시 광진구 광나루로 380
베트남쌍둥이반세오분짜,서울특별시 광진구 아차산로31길 54 (화양동) 2층,음식,동남아시아,베트남식 전문,127.070456595033,37.5432395693938,서울특별시 광진구 아차산로31 길 54
정앤리,서울특별시 광진구 아차산로 272 (자양동) 1층,음식,비알코올 ,카페,127.072981616513,37.538546918058,서울특별시 광진구 아차산로 272
동네파스타,서울특별시 광진구 광나루로 369 (군자동) 1층,음식,서양식,파스타/스테이크,127.07103693168,37.5484522110591,서울특별시 광진구 광나루로 369
행운,서울특별시 광진구 면목로 99 (중곡동) 1층,음식,한식,백반/한정식,127.07927213462,37.5625370529192,서울특별시 광진구 면목로 99
화락바베큐치킨광진 건대점,서울특별시 광진구 구의로 67 (구의동) 1층,음식,기타 간이,치킨,127.090340512679,37.5440521889013,서울특별시 광진구 구의로 67
전주한식뷔페,서울특별시 광진구 동일로62길 7 (중곡동) 1층,음식,구내식당·뷔페,뷔페,127.074742635849,37.5599426629802,서울특별시 광진구 동일로62 길 7
소유담순대국,서울특별시 광진구 군자로 140 (군자동) 1층,음식,한식,국/탕/찌개류,127.074995443774,37.5541418846868,서울특별시 광진구 군자로 140
뽁밥건대 본점,서울특별시 광진구 아차산로 325 (자양동) 1층,음식,한식,백반/한정식,127.078987529499,37.5378370289135,서울특별시 광진구 아차산로 325
단스,서울특별시 광진구 동일로22길 30 (화양동) 1층,음식,일식,일식 회/초밥,127.065922567677,37.54203242418,서울특별시 광진구 동일로22 길 30
만나고쪽갈비,서울특별시 광진구 능동로 389 (중곡동) 1층,음식,한식,돼지고기 구이/찜,127.083011044286,37.5640889253191,서울특별시 광진구 능동로 389
