지정기관,지정일자,지정등급,업소명,영업자명,소재지(도로명),업종명,법정동명(식품영업대장)
식품의약품안전처,2024-07-04,매우우수,롯데리아 건대입구역점,김*영,서울특별시 광진구 아차산로 215(1층 화양동),휴게음식점,화양동
식품의약품안전처,2024-08-29,매우우수,롯데리아(강변씨네마점),김*수,"서울특별시 광진구 광나루로56길 85(9층동 041호 구의동,테크노마트)",휴게음식점,구의동 
식품의약품안전처,2024-10-23,매우우수,롯데마트 강변점,강*태,"서울특별시 광진구 광나루로56길 85(지하2층 구의동, 롯데마트내)",휴게음식점,구의동 
식품의약품안전처,2024-04-24,매우우수,롯데웰푸드(주)파스퇴르밀크바 건대스타시티점,이*엽,서울특별시 광진구 능동로 92(건대롯데스타시티점 지하1층 자양동),휴게음식점,자양동
식품의약품안전처,2024-07-01,매우우수,맘스터치 광장동점,박*이,"서울특별시 광진구 아차산로 502(진넥스오딧세이 1층 101,102호 광장동)",휴게음식점,광장동
식품의약품안전처,2023-08-07,매우우수,맥도날드 어린이대공원점,김*원,"서울특별시 광진구 광나루로 392(1,2층 화양동)",휴게음식점,화양동 
식품의약품안전처,2024-06-19,매우우수,메가엠지씨커피 건대화양제일시장점,김*현 외 1명,서울특별시 광진구 능동로13길 40(1층 화양동),휴게음식점,화양동
식품의약품안전처,2024-04-24,매우우수,메가엠지씨커피 광진자양뚝섬로점,김*현 외 1명,"서울특별시 광진구 뚝섬로52길 7(1층 101,102호 자양동, 그랜드 아파트)",휴게음식점,화양동
식품의약품안전처,2024-09-04,매우우수,메가엠지씨커피 군자동주민센터점,배*열,서울특별시 광진구 면목로 7-1(1층 군자동),휴게음식점,군자동
식품의약품안전처,2024-07-04,매우우수,메가엠지씨커피 자양시장점,박*규,서울특별시 광진구 자양로15길 18(혜성빌딩 1층 자양동),휴게음식점,자양동
식품의약품안전처,2025-01-22,매우우수,메가엠지씨커피 자양역점,박*경,서울특별시 광진구 능동로 18(1층 107호 자양동),일반음식점,자양동
식품의약품안전처,2023-07-18,매우우수,메가엠지씨커피올림픽대교북단점,박*은,서울특별시 광진구 아차산로 481(구의동20020빌딩 1층 구의동),휴게음식점,구의동 
식품의약품안전처,2024-09-23,매우우수,멘지 건대점,이*호,서울특별시 광진구 능동로13길 15(2층 화양동),일반음식점,화양동
식품의약품안전처,2024-07-01,매우우수,명품고로케넘버원(No.1),이*현,"서울특별시 광진구 광나루로56길 85(구의동, 프라임센터지하2층)",휴게음식점,구의동
식품의약품안전처,2023-06-15,매우우수,모미모미 건대스타시티점,이*상,"서울특별시 광진구 능동로 92(자양동, 롯데백화점건대스타시티점 지하1층 델리코너)",일반음식점,자양동 
식품의약품안전처,2024-07-01,매우우수,몽슈슈 롯데백화점 건대스타시티점,김*근,서울특별시 광진구 능동로 92(롯데백화점 지하1층 자양동),휴게음식점,자양동
식품의약품안전처,2025-01-13,우수,미아리우동집 중곡점,정*호,서울특별시 광진구 용마산로 107(금빛유치원 1층 102호 중곡동),일반음식점,중곡동
식품의약품안전처,2023-10-19,좋음,배스킨라빈스 건대스타시티점,주*택,서울특별시 광진구 아차산로 262(자양동),휴게음식점,자양동 
